date,accident_type,plane_type,operator,fatalities,category,first_flight,phase,nature
20-FEB-1942,Result - Damaged on the ground,de Havilland DH.86A Express,Royal Navy,0,O1,,Standing (STD),Military
03-MAR-1942,Result - Damaged on the ground,Lockheed 18 Lodestar,Netherlands East Indies AF,0,C1,1941,Standing (STD),Military
03-MAR-1942,Result - Damaged on the ground,Consolidated PBY-4 Catalina,US Navy,,C1,,Standing (STD),Military
03-MAR-1942,Result - Damaged on the ground,Short S.23 Empire Flying Boat Mk I,BOAC,,C1,1937,Standing (STD),-
03-MAR-1942,Result - Damaged on the ground,Consolidated PBY-4 Catalina,US Navy,,C1,,Standing (STD),Military
03-MAR-1942,Result - Damaged on the ground,Consolidated 28-5MNE Catalina,RAF,,C1,,Standing (STD),Military
03-MAR-1942,Result - Damaged on the ground,Consolidated 28-5MNE Catalina,RAF,,C1,,Standing (STD),Military
03-MAR-1942,Result - Damaged on the ground,Consolidated PBY-5 Catalina,Dutch Navy,,C1,,Standing (STD),Military
03-MAR-1942,Result - Damaged on the ground,Consolidated PBY-5 Catalina,Dutch Navy,,C1,,Standing (STD),Military
03-MAR-1942,Result - Damaged on the ground,Consolidated PBY-5 Catalina,Dutch Navy,,C1,,Standing (STD),Military
03-MAR-1942,Result - Damaged on the ground,Consolidated PBY-5 Catalina,Dutch Navy,,C1,,Standing (STD),Military
08-MAR-1942,Result - Damaged on the ground,Ford 4-AT-E Tri-Motor,Aircraft Export Corporation,0,O1,1929-01-27,Standing (STD),-
10-MAR-1942,Result - Damaged on the ground,Douglas DC-3-270,Pan Am,0,O1,1939,Standing (STD),Military
13-MAR-1942,Result - Damaged on the ground,Ford 4-AT-E Tri-Motor,RAAF,0,C1,1929-02-22,Standing (STD),Military
19-APR-1942,Result - Damaged on the ground,de Havilland DH.86 Express,RAAF,,O1,,Standing (STD),Military
06-MAY-1942,Result - Damaged on the ground,Douglas DC-3A-414,RAF,0,C1,1941,Standing (STD),Military
06-MAY-1942,Result - Damaged on the ground,Douglas C-49G (DC-3),RAF,,A1,1936,Standing (STD),Military
18-JUN-1942,Result - Damaged on the ground,Consolidated 16 Commodore,American Export Airlines,0,O1,,Standing (STD),Ferry/positioning
10-AUG-1942,Result - Damaged on the ground,Lisunov PS-84,Aeroflot,,C1,,Standing (STD),-
17-AUG-1942,Result - Damaged on the ground,Lockheed 18 Lodestar,Australian CAA,,C1,1941,Standing (STD),Military
17-AUG-1942,Result - Damaged on the ground,Lockheed 18 Lodestar,Australian CAA,0,C1,1941,Standing (STD),Military
17-AUG-1942,Result - Damaged on the ground,Douglas DC-5-511,ADAT,0,C1,1940,Standing (STD),Military
16-SEP-1942,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,O1,1942,Standing (STD),Military
16-NOV-1942,Result - Damaged on the ground,Douglas C-53-DO (DC-3),USAAF,,C1,1942,Standing (STD),Military
20-NOV-1942,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,C1,1942,Standing (STD),Military
01-DEC-1942,Result - Damaged on the ground,Short S.23 Empire Flying Boat Mk I,BOAC,,O1,1937,Standing (STD),-
15-JAN-1943,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,C1,,Standing (STD),Military
15-JAN-1943,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,6,C1,1942,Standing (STD),Military
23-JAN-1943,Result - Damaged on the ground,Douglas C-53 Skytrooper (DC-3),USAAF,0,O1,1942,Standing (STD),Military
24-JAN-1943,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,O1,1942,Standing (STD),Military
26-MAR-1943,Result - Damaged on the ground,Consolidated PBY-5A Catalina,Dutch Navy,,A1,,Unknown (UNK),Military
07-MAY-1943,Result - Damaged on the ground,Savoia-Marchetti SM-75 bis,LATI,0,C1,,Standing (STD),-
15-MAY-1943,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,O1,1942,Standing (STD),Military
17-MAY-1943,Result - Damaged on the ground,Curtiss C-46A,USAAF,,O1,1943,Standing (STD),Military
26-MAY-1943,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,A1,1942,Standing (STD),Military
27-JUL-1943,Result - Damaged on the ground,Sikorsky S-42B,Pan Am,0,A1,,Standing (STD),Passenger
26-AUG-1943,Result - Damaged on the ground,Curtiss C-46A,USAAF,,O1,1943,Standing (STD),Military
26-AUG-1943,Result - Damaged on the ground,Lockheed 14-H Super Electra,BWIA,0,O1,1937,Standing (STD),-
18-SEP-1943,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,C1,1943,Standing (STD),Military
18-SEP-1943,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,C1,1943,Standing (STD),Military
18-SEP-1943,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,C1,1943,Standing (STD),Military
18-SEP-1943,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,C1,1943,Standing (STD),Military
20-SEP-1943,Result - Damaged on the ground,Short Sunderland I,RAF,0,O1,,Standing (STD),Military
15-OCT-1943,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,O1,1942,Standing (STD),Military
15-NOV-1943,Result - Damaged on the ground,Curtiss C-46A,USAAF,,O1,1943,Standing (STD),Military
29-DEC-1943,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,O1,1943,Standing (STD),Military
??-???-1943,Result - Damaged on the ground,Douglas DC-3-220A,Deutsche Lufthansa,0,C1,1938,Standing (STD),-
27-FEB-1944,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,,A1,1943,Standing (STD),Military
05-MAR-1944,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,,O1,1944,Standing (STD),Military
10-MAR-1944,Result - Damaged on the ground,SNCASE SE.200,German AF,0,C1,,Standing (STD),Military
03-APR-1944,Result - Damaged on the ground,Consolidated PBY-5 Catalina,US Navy,,A1,,Pushback / towing (PBT),Military
17-APR-1944,Result - Damaged on the ground,SNCASE SE.200,German AF,0,C1,1942-12-23,Standing (STD),Military
17-APR-1944,Result - Damaged on the ground,Latécoère 631,German AF,0,C1,1942-11-04,Standing (STD),Military
06-JUN-1944,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,3,O1,1944,Standing (STD),Military
22-JUN-1944,Result - Damaged on the ground,Short Sunderland III,RAF,0,O1,,Standing (STD),Military
23-JUL-1944,Result - Damaged on the ground,Consolidated C-87 Liberator Express,USAAF,,O1,,Standing (STD),Military
02-AUG-1944,Result - Damaged on the ground,Douglas DC-2-115D,Swissair,0,C1,1934,Standing (STD),-
09-AUG-1944,Result - Damaged on the ground,Junkers Ju-90V3,Deutsche Lufthansa,0,C1,,Standing (STD),International Scheduled Passenger
14-AUG-1944,Result - Damaged on the ground,Douglas DC-3-220A,Deutsche Lufthansa,0,C1,1938,Standing (STD),-
15-AUG-1944,Result - Damaged on the ground,Curtiss C-46A,USAAF,,O1,1944,Standing (STD),Military
??-AUG-1944,Result - Damaged on the ground,Douglas DC-2-115F,LARES,0,C1,1935,Standing (STD),Unknown
02-SEP-1944,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,3,O1,1944,Standing (STD),Military
02-SEP-1944,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,,O1,1943,Standing (STD),Military
08-SEP-1944,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,C1,1942,Standing (STD),Military
15-SEP-1944,Result - Damaged on the ground,Consolidated Catalina GR.IIA,RAF,0,O1,,Standing (STD),Military
18-SEP-1944,Result - Damaged on the ground,Potez-CAMS 161,German AF,0,C1,1942-03-20,Standing (STD),Military
01-NOV-1944,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,,A1,1943,Standing (STD),Military
13-NOV-1944,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,,O1,1944,Standing (STD),Military
30-NOV-1944,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,O1,1943,Standing (STD),Military
02-DEC-1944,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,O1,1943,Standing (STD),Military
17-DEC-1944,Result - Damaged on the ground,Shorts Sunderland IIIa,RCAF,0,O1,,Standing (STD),Military
22-DEC-1944,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,O1,1944,Standing (STD),Military
24-DEC-1944,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,,C1,1944,Standing (STD),Military
25-DEC-1944,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,,C1,1944,Standing (STD),Military
30-DEC-1944,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,,C1,1944,Standing (STD),Military
??-???-1944,Result - Damaged on the ground,Lioré-et-Olivier H.246,French Navy,0,C1,,Standing (STD),Military
01-JAN-1945,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,,A1,1944,Standing (STD),Military
10-JAN-1945,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,,O1,1944,Standing (STD),Military
12-JAN-1945,Result - Damaged on the ground,Douglas C-47B (DC-3),USAAF,,C1,1944,Standing (STD),Military
18-JAN-1945,Result - Damaged on the ground,Short Sunderland III,RAF,0,O1,,Standing (STD),Military
21-JAN-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,,C1,1943,Standing (STD),Military
06-FEB-1945,Result - Damaged on the ground,Douglas DC-3 (Showa L2D),Japan Navy,0,C1,,Standing (STD),Military
10-FEB-1945,Result - Damaged on the ground,Curtiss C-46A,USAAF,,A1,1944,Standing (STD),Military
21-FEB-1945,Result - Damaged on the ground,Douglas R4D-6 (DC-3),US Navy,,O1,1944,Unknown (UNK),Military
26-FEB-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,O1,1943,Standing (STD),Military
05-MAR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,O1,1943,Standing (STD),Military
05-MAR-1945,Result - Damaged on the ground,Curtiss C-46A,USAAF,,U1,1944,Standing (STD),Military
11-MAR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,C1,1943,Standing (STD),Military
11-MAR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,C1,1943,Standing (STD),Military
11-MAR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,C1,1944,Standing (STD),Military
11-MAR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,C1,1944,Standing (STD),Military
11-MAR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,C1,1944,Standing (STD),Military
11-MAR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,C1,1944,Standing (STD),Military
11-MAR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,C1,1944,Standing (STD),Military
11-MAR-1945,Result - Damaged on the ground,Douglas C-47B (DC-3),USAAF,0,C1,1944,Standing (STD),Military
14-MAR-1945,Result - Damaged on the ground,Douglas C-47B (DC-3),USAAF,0,C1,1944,Standing (STD),Military
19-MAR-1945,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,,A1,1945,Standing (STD),Military
22-MAR-1945,Result - Damaged on the ground,Consolidated PBY-5A Catalina,US Navy,0,O1,,Standing (STD),Military
22-MAR-1945,Result - Damaged on the ground,Junkers Ju-52/3mg14e,Hungarian AF,0,C1,,Standing (STD),Military
01-APR-1945,Result - Damaged on the ground,Douglas C-47B (DC-3),USAAF,0,O1,1944,Standing (STD),Military
05-APR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,,O1,1944,Standing (STD),Military
06-APR-1945,Result - Damaged on the ground,Consolidated PBY-5A Catalina,RAAF,,C1,,Standing (STD),Military
12-APR-1945,Result - Damaged on the ground,Douglas C-47B (DC-3),USAAF,,O1,1944,Standing (STD),Military
30-APR-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,0,A1,1944,Standing (STD),Military
11-MAY-1945,Result - Damaged on the ground,Douglas C-47A (DC-3),USAAF,,O1,1943,Standing (STD),Military
24-MAY-1945,Result - Damaged on the ground,Douglas C-47B (DC-3),USAAF,0,C1,1944,Standing (STD),Military
??-MAY-1945,Result - Damaged on the ground,Douglas R4D-6 (DC-3),US Navy,,C1,1944,Standing (STD),Military
14-JUN-1945,Result - Damaged on the ground,Consolidated PBY-5A Catalina,RAAF,,O1,,Standing (STD),Military
20-JUN-1945,Result - Damaged on the ground,PB2B-1 Catalina,RAAF,0+ 2,O1,,Standing (STD),Military
22-JUN-1945,Result - Damaged on the ground,Consolidated PBY-5A Catalina,RAAF,0,O1,,Standing (STD),Military
12-JUL-1945,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,A1,1944,Standing (STD),Military
03-AUG-1945,Result - Damaged on the ground,Douglas C-47 (DC-3),USAAF,,A1,1942,Standing (STD),Military
23-AUG-1945,Result - Damaged on the ground,Curtiss R5C-1 (C-46A),US Navy,0,O1,,Standing (STD),Military
27-AUG-1945,Result - Damaged on the ground,Lockheed 18 Lodestar,Continental Air Lines,,O1,1940,Standing (STD),Unknown
09-SEP-1945,Result - Damaged on the ground,Douglas C-47B (DC-3),New Zealand AF,0,O1,1945,Standing (STD),Military
13-SEP-1945,Result - Damaged on the ground,Curtiss C-46A,USAAF,,O1,1944,Standing (STD),Military
21-SEP-1945,Result - Damaged on the ground,Short Sunderland GR.3,RAF,0,O1,,Standing (STD),Military
21-SEP-1945,Result - Damaged on the ground,Short Sunderland GR.3,RAF,0,O1,,Standing (STD),Military
02-OCT-1945,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,O1,1944,Standing (STD),Military
22-OCT-1945,Result - Damaged on the ground,Douglas C-47B (DC-3),USAAF,,O1,1945,Standing (STD),Military
02-NOV-1945,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
12-DEC-1945,Result - Damaged on the ground,Douglas C-47B (DC-3),RAAF,0+ 1,O1,1945,Standing (STD),Military
14-DEC-1945,Result - Damaged on the ground,Consolidated PBY-5A Catalina,RAAF,0,O1,,Standing (STD),Military
23-DEC-1945,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,A1,1943,Standing (STD),Military
28-JAN-1946,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,A1,1945,Standing (STD),Military
30-JAN-1946,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,A1,1944,Standing (STD),Military
12-FEB-1946,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,,O1,1945,Standing (STD),Military
15-FEB-1946,Result - Damaged on the ground,Short S.25 Sunderland 3,BOAC,,O1,1943,Standing (STD),-
19-FEB-1946,Result - Damaged on the ground,Short Sunderland GR.3,RAF,0,O1,,Standing (STD),Military
27-FEB-1946,Result - Damaged on the ground,Douglas C-47A (DC-3),RAAF,0,O1,1943,Standing (STD),Military
08-MAR-1946,Result - Damaged on the ground,Douglas C-47A (DC-3),Air Cargo Transport,0,O1,1944,Standing (STD),-
08-MAR-1946,Result - Damaged on the ground,Douglas C-47 (DC-3),Air Cargo Transport,0,O1,1942,Standing (STD),-
10-MAR-1946,Result - Damaged on the ground,Short S.25 Sunderland 3,BOAC,0,O1,1943,Standing (STD),-
06-JUN-1946,Result - Damaged on the ground,Douglas Dakota III (DC-3),RAF,0,O1,1943,Standing (STD),Military
06-JUN-1946,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1945,Standing (STD),Military
06-JUN-1946,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1945,Standing (STD),Military
18-JUL-1946,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1945,Standing (STD),Military
18-JUL-1946,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1945,Standing (STD),Military
18-JUL-1946,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
18-JUL-1946,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
18-JUL-1946,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1945,Standing (STD),Military
07-SEP-1946,Result - Damaged on the ground,Douglas C-47 (DC-3),ANA,0+ 1,O1,1943,Standing (STD),-
13-SEP-1946,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1944,Standing (STD),Military
26-SEP-1946,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Taxi (TXI),Military
08-OCT-1946,Result - Damaged on the ground,Lisunov Li-2,Polyarnaya Aviatsiya,0,O1,,Standing (STD),-
08-DEC-1946,Result - Damaged on the ground,Avro 691 Lancastrian C.3,Skyways,0,O1,,Standing (STD),-
19-DEC-1946,Result - Damaged on the ground,Avro 685 York C.1,RAF,0,A1,,Standing (STD),Military
18-JAN-1947,Result - Damaged on the ground,Short S.25 Sandringham 5,BOAC,,O1,,Standing (STD),-
25-JAN-1947,Result - Damaged on the ground,Douglas C-47A (DC-3),CSA,0,O1,1943,Standing (STD),-
10-FEB-1947,Result - Damaged on the ground,Lockheed 18 Lodestar,Union Airways,0,O1,1941,Standing (STD),-
16-MAR-1947,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,1946,Standing (STD),Military
23-JUL-1947,Result - Damaged on the ground,Douglas C-54D (DC-4),Seaboard & Western,0,O1,1945,Standing (STD),-
23-JUL-1947,Result - Damaged on the ground,Douglas C-54D (DC-4),Seaboard & Western,0,O1,1945,Standing (STD),-
06-AUG-1947,Result - Damaged on the ground,Douglas C-47 (DC-3),Indamer,0,O1,1942,Standing (STD),-
04-SEP-1947,Result - Damaged on the ground,Avro 685 York C.1,RAF,0,O1,,Standing (STD),Military
19-SEP-1947,Result - Damaged on the ground,Ilyushin Il-12P,Aeroflot / Moscow,0,O1,1947,Standing (STD),-
06-NOV-1947,Result - Damaged on the ground,PB2B-1 Catalina,Dutch Navy,0,O1,,Standing (STD),Military
26-DEC-1947,Result - Damaged on the ground,Douglas DC-3,Philippine Air Lines,,O1,,Standing (STD),-
26-DEC-1947,Result - Damaged on the ground,Douglas DC-3,Philippine Air Lines,,O1,,Standing (STD),-
26-DEC-1947,Result - Damaged on the ground,Douglas DC-3,Philippine Air Lines,,O1,,Standing (STD),-
26-DEC-1947,Result - Damaged on the ground,Douglas C-47A (DC-3),Philippine Air Lines,,O1,1943,Standing (STD),-
30-JAN-1948,Result - Damaged on the ground,Douglas C-47A (DC-3),MEA,,O1,1944,Unknown (UNK),Unknown
09-FEB-1948,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
28-FEB-1948,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
25-MAR-1948,Result - Damaged on the ground,Douglas C-54 (DC-4),USAF,0,O1,,Standing (STD),-
25-MAR-1948,Result - Damaged on the ground,Douglas C-54 (DC-4),USAF,0,O1,,Standing (STD),-
06-APR-1948,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1945,Standing (STD),Military
06-APR-1948,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1945,Standing (STD),Military
24-APR-1948,Result - Damaged on the ground,Douglas C-47 (DC-3),TAN,0,O1,,Standing (STD),-
22-MAY-1948,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,C1,1945,Standing (STD),Military
22-MAY-1948,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,,C1,1945,Standing (STD),Military
26-MAY-1948,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1945,Standing (STD),Military
04-JUL-1948,Result - Damaged on the ground,Curtiss C-46,Israeli AF,0,A1,,Standing (STD),Military
10-AUG-1948,Result - Damaged on the ground,Curtiss C-46F,Skyways Int.,0,O1,1945,Standing (STD),-
11-AUG-1948,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
28-SEP-1948,Result - Damaged on the ground,Douglas DC-4,TWA,0,O1,1945,Standing (STD),-
02-DEC-1948,Result - Damaged on the ground,Short Sunderland V,RAF,0,O1,,Standing (STD),Military
24-DEC-1948,Result - Damaged on the ground,Consolidated 16 Commodore,ALFA,0,O1,1929,Standing (STD),-
24-DEC-1948,Result - Damaged on the ground,Macchi M.C.94-II,ALFA,0,O1,,Standing (STD),-
24-DEC-1948,Result - Damaged on the ground,Macchi M.C.94-II,ALFA,0,O1,,Standing (STD),-
24-DEC-1948,Result - Damaged on the ground,Macchi M.C.94-II,ALFA,0,O1,,Standing (STD),-
22-JAN-1949,Result - Damaged on the ground,Douglas C-47A (DC-3),SAS,,A1,1944,Standing (STD),Unknown
21-FEB-1949,Result - Damaged on the ground,Short S.25 Sunderland 3,BOAC,0,O1,1944,Standing (STD),-
22-MAR-1949,Result - Damaged on the ground,Curtiss C-46A,L.A. Transatlantica Colombia,0,O1,1944,Standing (STD),Unknown
06-APR-1949,Result - Damaged on the ground,Handley Page Hastings C.1,RAF,0,A1,,Standing (STD),Military
02-JUL-1949,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,A1,1945,Standing (STD),Military
28-AUG-1949,Result - Damaged on the ground,Douglas C-47 (DC-3),LAB,0,C1,,Standing (STD),-
12-SEP-1949,Result - Damaged on the ground,Lockheed 18 Lodestar,LAB,0,C1,1941,Standing (STD),-
04-OCT-1949,Result - Damaged on the ground,Douglas Dakota IV (DC-3),RAF,0,O1,1945,Standing (STD),Military
22-OCT-1949,Result - Damaged on the ground,Lockheed 18 Lodestar,Golden Airways,0,O1,1943,Standing (STD),-
22-JAN-1950,Result - Damaged on the ground,Douglas DC-4-1009,Air France,0,O1,1946,Standing (STD),-
03-FEB-1950,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
21-MAR-1950,Result - Damaged on the ground,Fairchild C-82A Packet,USAF,0,O1,,Standing (STD),Military
26-MAR-1950,Result - Damaged on the ground,Short S.25 Sunderland GR.5,RAF,2,O1,,Standing (STD),Military
02-JUN-1950,Result - Damaged on the ground,Avro 685 York C.1,RAF,0,A1,,Standing (STD),Military
19-JUL-1950,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
17-SEP-1950,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
25-SEP-1950,Result - Damaged on the ground,Fairchild C-119B Flying Boxcar,USAF,0,O1,,Standing (STD),Military
27-SEP-1950,Result - Damaged on the ground,Vickers 615 Viking 1B,Argentine AF,,O1,1947,Standing (STD),Military
08-JAN-1951,Result - Damaged on the ground,Curtiss C-46D,USAF,0,O1,1945,Standing (STD),Military
08-JAN-1951,Result - Damaged on the ground,Curtiss C-46D,USAF,0,O1,1945,Standing (STD),Military
27-JAN-1951,Result - Damaged on the ground,Grumman G-73 Mallard,Bataafse Petroleum Mij.,0,O1,1948,Standing (STD),-
??-MAY-1951,Result - Damaged on the ground,de Havilland DH.86B Express,Gulf Aviation,,A1,,Standing (STD),Unknown
10-JUN-1951,Result - Damaged on the ground,Short S.25 Sandringham 4,Qantas,0,O1,1944,Taxi (TXI),International Scheduled Passenger
16-AUG-1951,Result - Damaged on the ground,Fairchild C-82A Packet,USAF,0,O1,,Unknown (UNK),Military
21-AUG-1951,Result - Damaged on the ground,PB2B-1 Canso A (PBY-5A),Caribbean International,0,O1,1943,Standing (STD),-
14-OCT-1951,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
20-DEC-1951,Result - Damaged on the ground,Short Sunderland GR.5,RAF,0,O1,,Standing (STD),Military
18-JAN-1952,Result - Damaged on the ground,Vickers Valetta C.1,RAF,0,A1,1949-06-03,Standing (STD),Military
31-OCT-1952,Result - Damaged on the ground,Short S.25 Sandringham 4,Ansett,0,O1,,Standing (STD),-
21-JAN-1953,Result - Damaged on the ground,Short S.25 Sunderland 3,Aquila Airways,0,A1,1944,Standing (STD),Unknown
26-MAR-1953,Result - Damaged on the ground,Vickers Varisty T.1,RAF,0,A1,1953,Taxi (TXI),Military
22-JUL-1953,Result - Damaged on the ground,Canadair C-54GM North Star,RCAF,0,O1,1947-07-14,Standing (STD),Military
26-JUL-1953,Result - Damaged on the ground,Douglas C-47D (DC-3),USAF,,C1,1944,Standing (STD),Military
08-AUG-1953,Result - Damaged on the ground,Junkers Ju-52/3m,Argentine Ministry of Agriculture,0,O1,,Standing (STD),Agricultural
13-AUG-1953,Result - Damaged on the ground,Lisunov Li-2,Aeroflot / Moscow,0,O1,1948,Standing (STD),-
13-FEB-1954,Result - Damaged on the ground,Douglas C-47A (DC-3),Air Outre-Mer,,C1,1944,Standing (STD),-
04-MAR-1954,Result - Damaged on the ground,Douglas C-47 (DC-3),Air Outre-Mer,,C1,1942,Standing (STD),Unknown
04-MAR-1954,Result - Damaged on the ground,Douglas R4D-3 (DC-3),Aigle Azur,,C1,1942,Standing (STD),Unknown
11-MAR-1954,Result - Damaged on the ground,Fairchild C-119C Flying Boxcar,"French AF, opb Civil Air Transport",0,C1,,Standing (STD),Military
13-MAR-1954,Result - Damaged on the ground,Curtiss C-46E,Aigle Azur Maroc,0,C1,1945,Standing (STD),-
14-MAR-1954,Result - Damaged on the ground,Fairchild C-119G Flying Boxcar,USAF,0,O1,,Standing (STD),-
28-MAR-1954,Result - Damaged on the ground,Douglas C-47B (DC-3),French AF,,C1,1944,Standing (STD),Military
31-MAR-1954,Result - Damaged on the ground,Shorts S.26 G Class,private,0,O1,,Standing (STD),-
04-MAY-1954,Result - Damaged on the ground,DHC-3 Otter,RCAF,0,O1,1953,Standing (STD),Military
04-MAY-1954,Result - Damaged on the ground,DHC-3 Otter,RCAF,0,O1,,Standing (STD),Military
27-NOV-1954,Result - Damaged on the ground,Short S.25 Sunderland 5,Aquila Airways,0,O1,,Standing (STD),-
06-DEC-1954,Result - Damaged on the ground,Douglas DC-3-322,Oklahoma Pipe Line Construction,,O1,1940,Standing (STD),-
08-DEC-1954,Result - Damaged on the ground,Grumman G-73 Mallard,Robertson & O'Connell Ltd.,0,O1,1951,Standing (STD),-
26-DEC-1954,Result - Damaged on the ground,Lockheed 18 Lodestar,Chelsea Holdings Ltd.,0,O1,1940,Standing (STD),-
02-NOV-1955,Result - Damaged on the ground,Short Sunderland MR.5,RAF,0,O1,,Standing (STD),Military
22-DEC-1955,Result - Damaged on the ground,Avro Shackleton MR.2,RAF,0,O1,1953-09-18,Standing (STD),Military
30-DEC-1955,Result - Damaged on the ground,Martin 2-0-2,Southwest Airlines,0,O1,,Standing (STD),-
10-FEB-1956,Result - Damaged on the ground,UC-1 Otter (DHC-3),US Navy,0,O1,1955,Standing (STD),Military
18-FEB-1956,Result - Damaged on the ground,Douglas C-47B (DC-3),Kuwait National Airways,,U1,1944,Standing (STD),Unknown
04-MAR-1956,Result - Damaged on the ground,Handley Page HP.81 Hermes IV,Skyways,0,C1,1950,Standing (STD),Int'l Non Scheduled Passenger
19-MAR-1956,Result - Damaged on the ground,Canadair C-54GM North Star,RCAF,0,O1,1948,Standing (STD),Military
19-MAR-1956,Result - Damaged on the ground,Fairchild CC-119,RCAF,0,O1,,Standing (STD),Military
22-APR-1956,Result - Damaged on the ground,Avro 685 York C.1,BOAC,,O1,1945,Standing (STD),Unknown
07-MAY-1956,Result - Damaged on the ground,Douglas C-47A (DC-3),VASP,0,O1,1944,Standing (STD),-
18-JUN-1956,Result - Damaged on the ground,Bristol 170 Freighter 31,TransAir,0,A1,,Standing (STD),Cargo
03-SEP-1956,Result - Damaged on the ground,Consolidated 28-5MC Canso A,Foshing Airlines,0,O1,1942,Standing (STD),-
